FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.036310760537907626,0.05587387922472043,0.5122952543234905,0.38525794725397633,4.026945861670129,6.4472682252193865,5.24034464539624,0.2687847662175655
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005975802992783361,0.011218936376112253,0.0981950084882867,0.058027659405133894,0.33937923789989816,0.09153651162927287,0.009053440314482972,4.619552311663909e-05
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008630048376608631,0.015663582622907287,0.14375337393342036,0.09799071577647718,0.7654792757032644,0.4649115821703004,0.11070871140767112,0.0013160716976949515
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011924308812541945,0.019958636777854127,0.18326992717023663,0.13119284925450503,1.1653842791138973,1.1731206521047068,0.5268941654138494,0.012861039673705804
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.008147445806605083,0.014937664170317793,0.13605785295702572,0.09007338300350515,0.702617962677651,0.4900173893790862,0.18915206012944347,0.0040595652170043435
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.010129034260184001,0.017819013379857182,0.16650891547326002,0.11641117892198832,1.0368803583923762,1.168260865912455,0.7490667608422699,0.026434882166558208
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.01276416266087945,0.021466088867053215,0.19960677417481,0.14309252789262641,1.3598610706361207,1.8198311633719622,1.4156022275066253,0.06519378060059844
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235709448770647,0.19849889334746307,1.7351986211275252,1.2737155400189375,10.50688880629784,10.912023419694766,4.0197146295430795,0.08585802659051515
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02869479255800629,0.044508680953555715,0.40790807234093174,0.30479702234734,3.1007447322902966,4.663558649277856,3.4438942568269786,0.15793304474881575
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015227595463729598,0.024854110055124834,0.23295703622961816,0.17131455497017445,1.7586656498297768,2.7974792521700547,2.9487381087564435,0.20218228260095847
